"","id","pokemon","id_especie","altura","peso","exp_base","tipo_1","tipo_2","hp","ataque","defesa","ataque_especial","defesa_especial","velocidade","cor_1","cor_2","cor_final","grupo_ovo_1","grupo_ovo_2","url_icone","url_imagem","id_geracao"
"13",13,"weedle",13,0.03,0.32,39,"inseto","venenoso",40,35,30,20,20,50,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/d/d4/013MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/013.png",1
"14",14,"kakuna",14,0.06,1,72,"inseto","venenoso",45,25,50,25,25,35,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/d/d4/014MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/014.png",1
"15",15,"beedrill",15,0.1,2.95,178,"inseto","venenoso",65,90,40,45,80,75,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/e/e4/015MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/015.png",1
"16",16,"pidgey",16,0.03,0.18,50,"normal","voador",40,45,40,35,35,56,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/2/26/016MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/016.png",1
"17",17,"pidgeotto",17,0.11,3,122,"normal","voador",63,60,55,50,50,71,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/c/c3/017MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/017.png",1
"18",18,"pidgeot",18,0.15,3.95,216,"normal","voador",83,80,75,70,70,101,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/e/e3/018MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/018.png",1
"19",19,"rattata",19,0.03,0.35,51,"normal",NA,30,56,35,25,35,72,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/d/d9/019MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/019.png",1
"20",20,"raticate",20,0.07,1.85,145,"normal",NA,55,81,60,50,70,97,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/5/57/020MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/020.png",1
"21",21,"spearow",21,0.03,0.2,52,"normal","voador",40,60,30,31,31,70,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/5/50/021MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/021.png",1
"22",22,"fearow",22,0.12,3.8,155,"normal","voador",65,90,65,61,61,100,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/0/0b/022MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/022.png",1
"23",23,"ekans",23,0.2,0.69,58,"venenoso",NA,35,60,44,40,54,55,"#A040A0",NA,NA,"ground","dragon","//archives.bulbagarden.net/media/upload/d/de/023MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/023.png",1
"24",24,"arbok",24,0.35,6.5,157,"venenoso",NA,60,95,69,65,79,80,"#A040A0",NA,NA,"ground","dragon","//archives.bulbagarden.net/media/upload/d/d5/024MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/024.png",1
"25",25,"pikachu",25,0.04,0.6,112,"elétrico",NA,35,55,40,50,50,90,"#F8D030",NA,NA,"ground","fairy","//archives.bulbagarden.net/media/upload/d/de/025MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/025.png",1
"26",26,"raichu",26,0.08,3,218,"elétrico",NA,60,90,55,90,80,110,"#F8D030",NA,NA,"ground","fairy","//archives.bulbagarden.net/media/upload/1/14/026MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/026.png",1
"27",27,"sandshrew",27,0.06,1.2,60,"terrestre",NA,50,75,85,20,30,40,"#E0C068",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/9/9d/027MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/027.png",1
"28",28,"sandslash",28,0.1,2.95,158,"terrestre",NA,75,100,110,45,55,65,"#E0C068",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/5/56/028MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/028.png",1
"29",29,"nidoran-f",29,0.04,0.7,55,"venenoso",NA,55,47,52,40,40,41,"#A040A0",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/4/4e/029MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/029.png",1
"30",30,"nidorina",30,0.08,2,128,"venenoso",NA,70,62,67,55,55,56,"#A040A0",NA,NA,"no-eggs",NA,"//archives.bulbagarden.net/media/upload/c/cb/030MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/030.png",1
"31",31,"nidoqueen",31,0.13,6,227,"venenoso","terrestre",90,92,87,75,85,76,"#A040A0","#E0C068","#AF5F92","no-eggs",NA,"//archives.bulbagarden.net/media/upload/7/7c/031MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/031.png",1
"32",32,"nidoran-m",32,0.05,0.9,55,"venenoso",NA,46,57,40,40,40,50,"#A040A0",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/6/6a/032MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/032.png",1
"33",33,"nidorino",33,0.09,1.95,128,"venenoso",NA,61,72,57,55,55,65,"#A040A0",NA,NA,"monster","ground","//archives.bulbagarden.net/media/upload/4/4a/033MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/033.png",1
"34",34,"nidoking",34,0.14,6.2,227,"venenoso","terrestre",81,102,77,85,75,85,"#A040A0","#E0C068","#AF5F92","monster","ground","//archives.bulbagarden.net/media/upload/e/ec/034MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/034.png",1
"35",35,"clefairy",35,0.06,0.75,113,"fada",NA,70,45,48,60,65,35,"#EE99AC",NA,NA,"fairy",NA,"//archives.bulbagarden.net/media/upload/6/67/035MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/035.png",1
"36",36,"clefable",36,0.13,4,217,"fada",NA,95,70,73,95,90,60,"#EE99AC",NA,NA,"fairy",NA,"//archives.bulbagarden.net/media/upload/a/a5/036MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/036.png",1
"37",37,"vulpix",37,0.06,0.99,60,"fogo",NA,38,41,40,50,65,65,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/0/09/037MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/037.png",1
"38",38,"ninetales",38,0.11,1.99,177,"fogo",NA,73,76,75,81,100,100,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/1/1f/038MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/038.png",1
"39",39,"jigglypuff",39,0.05,0.55,95,"normal","fada",115,45,20,45,25,20,"#A8A878","#EE99AC","#B8A484","fairy",NA,"//archives.bulbagarden.net/media/upload/8/8b/039MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/039.png",1
"40",40,"wigglytuff",40,0.1,1.2,196,"normal","fada",140,70,45,85,50,45,"#A8A878","#EE99AC","#B8A484","fairy",NA,"//archives.bulbagarden.net/media/upload/d/d2/040MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/040.png",1
"41",41,"zubat",41,0.08,0.75,49,"venenoso","voador",40,45,35,30,40,55,"#A040A0","#A890F0","#A153B3","flying",NA,"//archives.bulbagarden.net/media/upload/0/0c/041MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/041.png",1
"42",42,"golbat",42,0.16,5.5,159,"venenoso","voador",75,80,70,65,75,90,"#A040A0","#A890F0","#A153B3","flying",NA,"//archives.bulbagarden.net/media/upload/b/b7/042MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/042.png",1
"43",43,"oddish",43,0.05,0.54,64,"grama","venenoso",45,50,55,75,65,30,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/2/22/043MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/043.png",1
"44",44,"gloom",44,0.08,0.86,138,"grama","venenoso",60,65,70,85,75,40,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/e/e2/044MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/044.png",1
"45",45,"vileplume",45,0.12,1.86,221,"grama","venenoso",75,80,85,110,90,50,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/1/19/045MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/045.png",1
"46",46,"paras",46,0.03,0.54,57,"inseto","grama",35,70,55,45,55,25,"#A8B820","#78C850","#9CBB2B","bug","plant","//archives.bulbagarden.net/media/upload/2/28/046MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/046.png",1
"47",47,"parasect",47,0.1,2.95,142,"inseto","grama",60,95,80,60,80,30,"#A8B820","#78C850","#9CBB2B","bug","plant","//archives.bulbagarden.net/media/upload/a/a3/047MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/047.png",1
"48",48,"venonat",48,0.1,3,61,"inseto","venenoso",60,55,50,40,55,45,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/6/6f/048MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/048.png",1
"49",49,"venomoth",49,0.15,1.25,158,"inseto","venenoso",70,65,60,90,75,90,"#A8B820","#A040A0","#A69A3F","bug",NA,"//archives.bulbagarden.net/media/upload/b/b2/049MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/049.png",1
"50",50,"diglett",50,0.02,0.08,53,"terrestre",NA,10,55,25,35,45,95,"#E0C068",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/b/bf/050MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/050.png",1
"51",51,"dugtrio",51,0.07,3.33,149,"terrestre",NA,35,100,50,50,70,120,"#E0C068",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/7/79/051MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/051.png",1
"52",52,"meowth",52,0.04,0.42,58,"normal",NA,40,45,35,40,40,90,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/0/0d/052MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/052.png",1
"53",53,"persian",53,0.1,3.2,154,"normal",NA,65,70,60,65,65,115,"#A8A878",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/1/14/053MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/053.png",1
"54",54,"psyduck",54,0.08,1.96,64,"água",NA,50,52,48,65,50,55,"#6890F0",NA,NA,"water1","ground","//archives.bulbagarden.net/media/upload/a/a2/054MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/054.png",1
"55",55,"golduck",55,0.17,7.66,175,"água",NA,80,82,78,95,80,85,"#6890F0",NA,NA,"water1","ground","//archives.bulbagarden.net/media/upload/5/59/055MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/055.png",1
"56",56,"mankey",56,0.05,2.8,61,"lutador",NA,40,80,35,35,45,70,"#C03028",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/8/87/056MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/056.png",1
"57",57,"primeape",57,0.1,3.2,159,"lutador",NA,65,105,60,60,70,95,"#C03028",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/0/01/057MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/057.png",1
"58",58,"growlithe",58,0.07,1.9,70,"fogo",NA,55,70,45,70,50,60,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/b/b8/058MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/058.png",1
"59",59,"arcanine",59,0.19,15.5,194,"fogo",NA,90,110,80,100,80,95,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/0/04/059MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/059.png",1
"60",60,"poliwag",60,0.06,1.24,60,"água",NA,40,50,40,40,40,90,"#6890F0",NA,NA,"water1",NA,"//archives.bulbagarden.net/media/upload/1/1e/060MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/060.png",1
"61",61,"poliwhirl",61,0.1,2,135,"água",NA,65,65,65,50,50,90,"#6890F0",NA,NA,"water1",NA,"//archives.bulbagarden.net/media/upload/2/2f/061MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/061.png",1
"62",62,"poliwrath",62,0.13,5.4,230,"água","lutador",90,95,95,70,90,70,"#6890F0","#C03028","#7D78BF","water1",NA,"//archives.bulbagarden.net/media/upload/8/88/062MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/062.png",1
"63",63,"abra",63,0.09,1.95,62,"psíquico",NA,25,20,15,105,55,90,"#F85888",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/b/b6/063MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/063.png",1
"64",64,"kadabra",64,0.13,5.65,140,"psíquico",NA,40,35,30,120,70,105,"#F85888",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/2/21/064MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/064.png",1
"65",65,"alakazam",65,0.15,4.8,225,"psíquico",NA,55,50,45,135,95,120,"#F85888",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/1/19/065MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/065.png",1
"66",66,"machop",66,0.08,1.95,61,"lutador",NA,70,80,50,35,35,35,"#C03028",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/5/59/066MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/066.png",1
"67",67,"machoke",67,0.15,7.05,142,"lutador",NA,80,100,70,50,60,45,"#C03028",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/1/19/067MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/067.png",1
"68",68,"machamp",68,0.16,13,227,"lutador",NA,90,130,80,65,85,55,"#C03028",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/0/05/068MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/068.png",1
"69",69,"bellsprout",69,0.07,0.4,60,"grama","venenoso",50,75,35,70,30,40,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/c/c7/069MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/069.png",1
"70",70,"weepinbell",70,0.1,0.64,137,"grama","venenoso",65,90,50,85,45,55,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/b/b5/070MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/070.png",1
"71",71,"victreebel",71,0.17,1.55,221,"grama","venenoso",80,105,65,100,70,70,"#78C850","#A040A0","#81A763","plant",NA,"//archives.bulbagarden.net/media/upload/6/69/071MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/071.png",1
"72",72,"tentacool",72,0.09,4.55,67,"água","venenoso",40,40,35,50,100,70,"#6890F0","#A040A0","#757CDC","water3",NA,"//archives.bulbagarden.net/media/upload/3/3a/072MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/072.png",1
"73",73,"tentacruel",73,0.16,5.5,180,"água","venenoso",80,70,65,80,120,100,"#6890F0","#A040A0","#757CDC","water3",NA,"//archives.bulbagarden.net/media/upload/e/eb/073MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/073.png",1
"74",74,"geodude",74,0.04,2,60,"pedra","terrestre",40,80,100,30,30,20,"#B8A038","#E0C068","#C1A743","mineral",NA,"//archives.bulbagarden.net/media/upload/b/b4/074MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/074.png",1
"75",75,"graveler",75,0.1,10.5,137,"pedra","terrestre",55,95,115,45,45,35,"#B8A038","#E0C068","#C1A743","mineral",NA,"//archives.bulbagarden.net/media/upload/0/0f/075MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/075.png",1
"76",76,"golem",76,0.14,30,223,"pedra","terrestre",80,120,130,55,65,45,"#B8A038","#E0C068","#C1A743","mineral",NA,"//archives.bulbagarden.net/media/upload/c/c3/076MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/076.png",1
"77",77,"ponyta",77,0.1,3,82,"fogo",NA,50,85,55,65,65,90,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/5/5d/077MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/077.png",1
"78",78,"rapidash",78,0.17,9.5,175,"fogo",NA,65,100,70,80,80,105,"#F08030",NA,NA,"ground",NA,"//archives.bulbagarden.net/media/upload/0/02/078MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/078.png",1
"79",79,"slowpoke",79,0.12,3.6,63,"água","psíquico",90,65,65,40,40,15,"#6890F0","#F85888","#8A82D6","monster","water1","//archives.bulbagarden.net/media/upload/8/82/079MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/079.png",1
"80",80,"slowbro",80,0.16,7.85,172,"água","psíquico",95,75,110,100,80,30,"#6890F0","#F85888","#8A82D6","monster","water1","//archives.bulbagarden.net/media/upload/c/cb/080MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/080.png",1
"81",81,"magnemite",81,0.03,0.6,65,"elétrico","aço",25,35,70,95,55,45,"#F8D030","#B8B8D0","#E8CA56","mineral",NA,"//archives.bulbagarden.net/media/upload/6/6e/081MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/081.png",1
"82",82,"magneton",82,0.1,6,163,"elétrico","aço",50,60,95,120,70,70,"#F8D030","#B8B8D0","#E8CA56","mineral",NA,"//archives.bulbagarden.net/media/upload/9/9f/082MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/082.png",1
"83",83,"farfetchd",83,0.08,1.5,132,"normal","voador",52,90,55,58,62,60,"#A8A878","#A890F0","#A8A295","flying","ground","//archives.bulbagarden.net/media/upload/0/09/083MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/083.png",1
"84",84,"doduo",84,0.14,3.92,62,"normal","voador",35,85,45,35,35,75,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/7/7f/084MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/084.png",1
"85",85,"dodrio",85,0.18,8.52,165,"normal","voador",60,110,70,60,60,110,"#A8A878","#A890F0","#A8A295","flying",NA,"//archives.bulbagarden.net/media/upload/8/8a/085MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/085.png",1
"86",86,"seel",86,0.11,9,65,"água",NA,65,45,55,45,70,45,"#6890F0",NA,NA,"water1","ground","//archives.bulbagarden.net/media/upload/d/db/086MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/086.png",1
"87",87,"dewgong",87,0.17,12,166,"água","gelo",90,70,80,70,95,70,"#6890F0","#98D8D8","#73A1EA","water1","ground","//archives.bulbagarden.net/media/upload/f/f7/087MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/087.png",1
"88",88,"grimer",88,0.09,3,65,"venenoso",NA,80,80,50,40,50,25,"#A040A0",NA,NA,"indeterminate",NA,"//archives.bulbagarden.net/media/upload/2/2a/088MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/088.png",1
"89",89,"muk",89,0.12,3,175,"venenoso",NA,105,105,75,65,100,50,"#A040A0",NA,NA,"indeterminate",NA,"//archives.bulbagarden.net/media/upload/9/9b/089MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/089.png",1
"90",90,"shellder",90,0.03,0.4,61,"água",NA,30,65,100,45,25,40,"#6890F0",NA,NA,"water3",NA,"//archives.bulbagarden.net/media/upload/a/ae/090MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/090.png",1
"91",91,"cloyster",91,0.15,13.25,184,"água","gelo",50,95,180,85,45,70,"#6890F0","#98D8D8","#73A1EA","water3",NA,"//archives.bulbagarden.net/media/upload/8/84/091MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/091.png",1
"92",92,"gastly",92,0.13,0.01,62,"fantasma","venenoso",30,35,30,100,35,80,"#705898","#A040A0","#7B5299","indeterminate",NA,"//archives.bulbagarden.net/media/upload/e/e1/092MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/092.png",1
"93",93,"haunter",93,0.16,0.01,142,"fantasma","venenoso",45,50,45,115,55,95,"#705898","#A040A0","#7B5299","indeterminate",NA,"//archives.bulbagarden.net/media/upload/6/64/093MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/093.png",1
"94",94,"gengar",94,0.15,4.05,225,"fantasma","venenoso",60,65,60,130,75,110,"#705898","#A040A0","#7B5299","indeterminate",NA,"//archives.bulbagarden.net/media/upload/8/87/094MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/094.png",1
"95",95,"onix",95,0.88,21,77,"pedra","terrestre",35,45,160,30,45,70,"#B8A038","#E0C068","#C1A743","mineral",NA,"//archives.bulbagarden.net/media/upload/3/38/095MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/095.png",1
"96",96,"drowzee",96,0.1,3.24,66,"psíquico",NA,60,48,45,43,90,42,"#F85888",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/2/22/096MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/096.png",1
"97",97,"hypno",97,0.16,7.56,169,"psíquico",NA,85,73,70,73,115,67,"#F85888",NA,NA,"humanshape",NA,"//archives.bulbagarden.net/media/upload/2/23/097MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/097.png",1
"98",98,"krabby",98,0.04,0.65,65,"água",NA,30,105,90,25,25,50,"#6890F0",NA,NA,"water3",NA,"//archives.bulbagarden.net/media/upload/7/72/098MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/098.png",1
"99",99,"kingler",99,0.13,6,166,"água",NA,55,130,115,50,50,75,"#6890F0",NA,NA,"water3",NA,"//archives.bulbagarden.net/media/upload/f/fd/099MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/099.png",1
"100",100,"voltorb",100,0.05,1.04,66,"elétrico",NA,40,30,50,55,55,100,"#F8D030",NA,NA,"mineral",NA,"//archives.bulbagarden.net/media/upload/2/2e/100MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/100.png",1
"101",101,"electrode",101,0.12,6.66,172,"elétrico",NA,60,50,70,80,80,150,"#F8D030",NA,NA,"mineral",NA,"//archives.bulbagarden.net/media/upload/5/51/101MS6.png","https://raw.githubusercontent.com/HybridShivam/Pokemon/master/assets/images/101.png",1
